Red,Nombre de la IPRESS,Código RENIPRESS,Provincia,Distrito
Red La Convencion,KORIBENI,00002433,LA CONVENCION,ECHARATE
Red Cusco VRAEM,TAMBO DEL ENE,00015104,LA CONVENCION,PICHARI
Red Cusco VRAEM,PICHARI VRAEM,00034418,LA CONVENCION,PICHARI
Red Cusco VRAEM,OMAYA,00002496,LA CONVENCION,PICHARI
Red Cusco Sur,COLCHA,00002503,PARURO,COLCHA
Red Cusco Sur,MOLLOMARCA,00002511,PAUCARTAMBO,PAUCARTAMBO
Red Cusco Sur,CAICAY,00002512,PAUCARTAMBO,CAICAY
Red Cusco Sur,PILCOPATA,00002521,PAUCARTAMBO,KOSÑIPATA
Red Cusco Sur,CCARHUAYO,00002527,QUISPICANCHI,CCARHUAYO
Red Cusco Norte,MARAS,00002548,URUBAMBA,MARAS
Red Cusco VRAEM,MANITEA ALTA,00008284,LA CONVENCION,MANITEA
Red Cusco Norte,SAN PEDRO CUSCO,00002290,CUSCO,CUSCO
Red Cusco Norte,ZURITE,00002340,ANTA,ZURITE
Red Cusco Norte,CALCA,00002341,CALCA,CALCA
Red Cusco Norte,HUARAN,00010759,CALCA,CALCA
Red CCE,PAMPAMARCA,00002372,CANAS,PAMPAMARCA
Red Chumbivilcas,CCAPACMARCA,00002401,CHUMBIVILCAS,CAPACMARCA
Red Chumbivilcas,CANCAHUANI,00009963,CHUMBIVILCAS,CAPACMARCA
Red Chumbivilcas,HUAYCUÑUTA - URCURUTA,00027016,CHUMBIVILCAS,VELILLE
Red Chumbivilcas,ALCCA VICTORIA,00008912,CHUMBIVILCAS,VELILLE
Red La Convencion,ECHARATE,00002425,LA CONVENCION,ECHARATE
Red La Convencion,PAMPA CONCEPCION,00002430,LA CONVENCION,ECHARATE
Red La Convencion,SANTA MARIA,00002460,LA CONVENCION,MARANURA
Red Cusco VRAEM,MAPITUNARI,00002472,LA CONVENCION,KIMBIRI
Red La Convencion,SANTA TERESA,00002476,LA CONVENCION,SANTA TERESA
Red La Convencion,ARMA,00002490,LA CONVENCION,VILCABAMBA
Red La Convencion,CHOQUETIRA,00002487,LA CONVENCION,INKAWASI
Red Cusco Sur,CCOYABAMBA,00002502,PARURO,CCAPI
Red Cusco Sur,PILLPINTO,00002508,PARURO,PILLPINTO
Red Cusco Sur,AYRE,00002519,PAUCARTAMBO,COLQUEPATA
Red Cusco Sur,OCONGATE,00002536,QUISPICANCHI,OCONGATE
Red Cusco Norte,PATACANCHA,00010760,URUBAMBA,OLLANTAYTAMBO
Red La Convencion,SENSA,00002444,LA CONVENCION,MEGANTONI
Red La Convencion,CHOCORIARI,00002428,LA CONVENCION,MEGANTONI
Red Cusco Norte,CHOCCO,00002310,CUSCO,SANTIAGO
Red Cusco Norte,ANCAHUASI,00002330,ANTA,ANCAHUASI
Red Cusco Norte,QUELLO QUELLO,00002351,CALCA,PISAC
Red CCE,EL DESCANSO,00007700,CANAS,KUNTURKANKI
Red CCE,OCCOBAMBA MARANGANI,00002391,CANCHIS,MARANGANI
Red Chumbivilcas,LLIQUE,00006746,CHUMBIVILCAS,SANTO TOMAS
Red Chumbivilcas,LIVITACA,00002406,CHUMBIVILCAS,LIVITACA
Red CCE,OCCORURO,00002415,ESPINAR,OCORURO
Red La Convencion,SAN ANTONIO,00002450,LA CONVENCION,ECHARATE
Red La Convencion,CHAPO BOYERO,00008909,LA CONVENCION,QUELLOUNO
Red La Convencion,SAN MARTIN,00002468,LA CONVENCION,QUELLOUNO
Red Cusco VRAEM,PUEBLO LIBRE,00008283,LA CONVENCION,VILLA KINTIARINA
Red Cusco Sur,TOCRA,00006979,PAUCARTAMBO,COLQUEPATA
Red Cusco Sur,HUANCARANI,00002520,PAUCARTAMBO,HUANCARANI
Red Cusco Sur,CUSIPATA,00002530,QUISPICANCHI,CUSIPATA
Red Cusco Sur,MARCAPATA,00002535,QUISPICANCHI,MARCAPATA
Red Cusco Sur,OROPESA,00002537,QUISPICANCHI,OROPESA
Red Cusco Sur,CCOLCA,00002539,QUISPICANCHI,QUIQUIJANA
